feature_set,target,model,n_subjects,n_features,raw_mae_min,kalman_mae_min,r2,rho,sec
BodyComp,lt1,"EN(α=1.0,l1=0.2)",10,6,5.4972,5.4665,0.004,0.086,0.1
EMG,lt1,Ridge(α=1000),10,79,3.0467,2.8957,0.677,0.849,0.2
EMG+BC,lt1,"GBM(n=50,d=2)",10,85,2.9794,2.7194,0.665,0.82,11.7
EMG+NIRS,lt1,Ridge(α=1000),10,97,2.8971,2.7499,0.73,0.869,0.2
EMG+NIRS+BC,lt1,"EN(α=1.0,l1=0.2)",10,103,2.9797,2.8507,0.717,0.858,0.7
EMG+NIRS+HRV,lt1,"GBM(n=50,d=2)",10,107,2.3107,2.2774,0.811,0.905,17.4
EMG+NIRS+HRV+BC,lt1,"GBM(n=100,d=2)",10,113,2.1464,2.0864,0.833,0.912,30.1
