tag,alpha,target_coverage,subject_id,trained,q_halfwidth_sec,q_halfwidth_min,empirical_coverage,n_windows
lt2_ENH,0.1,0.9,S001,0,339.88,5.665,1.0,208
lt2_ENH,0.1,0.9,S002,0,339.11,5.652,1.0,154
lt2_ENH,0.1,0.9,S003,1,280.28,4.671,0.0849,271
lt2_ENH,0.1,0.9,S004,0,338.54,5.642,0.9645,169
lt2_ENH,0.1,0.9,S005,0,319.76,5.329,0.6208,240
lt2_ENH,0.1,0.9,S006,0,338.9,5.648,1.0,139
lt2_ENH,0.1,0.9,S007,0,336.75,5.612,1.0,17
lt2_ENH,0.1,0.9,S008,0,339.03,5.651,1.0,148
lt2_ENH,0.1,0.9,S009,1,344.7,5.745,1.0,354
lt2_ENH,0.1,0.9,S010,1,337.88,5.631,0.9214,318
lt2_ENH,0.1,0.9,S011,0,339.41,5.657,1.0,181
lt2_ENH,0.1,0.9,S012,0,338.65,5.644,0.9752,161
lt2_ENH,0.1,0.9,S013,1,340.22,5.67,0.9848,263
lt2_ENH,0.1,0.9,S014,0,340.39,5.673,1.0,225
lt2_ENH,0.1,0.9,S016,0,338.29,5.638,0.9462,186
lt2_ENH,0.1,0.9,S017,1,339.56,5.659,0.9863,219
lt2_ENH,0.1,0.9,S018,0,323.87,5.398,0.321,81
lt2_ENH,0.1,0.9,S019,1,343.41,5.724,1.0,317
lt2_ENH,0.2,0.8,S001,0,251.06,4.184,0.8125,208
lt2_ENH,0.2,0.8,S002,0,255.07,4.251,1.0,154
lt2_ENH,0.2,0.8,S003,1,215.48,3.591,0.0369,271
lt2_ENH,0.2,0.8,S004,0,254.36,4.239,0.9645,169
lt2_ENH,0.2,0.8,S005,0,241.06,4.018,0.5542,240
lt2_ENH,0.2,0.8,S006,0,254.36,4.239,1.0,139
lt2_ENH,0.2,0.8,S007,0,251.33,4.189,1.0,17
lt2_ENH,0.2,0.8,S008,0,255.03,4.251,1.0,148
lt2_ENH,0.2,0.8,S009,1,259.08,4.318,0.9266,354
lt2_ENH,0.2,0.8,S010,1,243.65,4.061,0.673,318
lt2_ENH,0.2,0.8,S011,0,256.94,4.282,1.0,181
lt2_ENH,0.2,0.8,S012,0,252.19,4.203,0.8696,161
lt2_ENH,0.2,0.8,S013,1,255.95,4.266,0.9278,263
lt2_ENH,0.2,0.8,S014,0,258.99,4.317,0.9956,225
lt2_ENH,0.2,0.8,S016,0,245.99,4.1,0.6774,186
lt2_ENH,0.2,0.8,S017,1,254.36,4.239,0.9269,219
lt2_ENH,0.2,0.8,S018,0,241.62,4.027,0.0988,81
lt2_ENH,0.2,0.8,S019,1,263.19,4.387,0.9968,317
