variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
with_abs,EMG,lt2,19,79,3.6575,3.974,30.0,3.974,4.1834,4.4286,5.0914,0.484,0.75,190.9
noabs,EMG,lt2,19,79,3.6804,3.9586,30.0,3.9586,4.156,4.3993,5.107,0.479,0.759,185.1
with_abs,NIRS,lt2,19,18,5.4536,5.7323,30.0,5.7323,5.9305,6.1691,6.8552,-0.182,0.434,186.2
noabs,NIRS,lt2,19,14,4.7903,4.9612,30.0,4.9612,5.0764,5.2092,5.5732,0.251,0.606,189.0
with_abs,EMG+NIRS,lt2,19,97,3.7834,4.0952,30.0,4.0952,4.3035,4.5486,5.2169,0.484,0.746,190.6
noabs,EMG+NIRS,lt2,19,93,3.5503,3.8802,30.0,3.8802,4.1012,4.366,5.1249,0.528,0.772,182.9
with_abs,EMG+NIRS+HRV,lt2,19,107,2.5629,2.9149,30.0,2.9149,3.1535,3.4362,4.2429,0.748,0.897,188.1
noabs,EMG+NIRS+HRV,lt2,19,101,3.157,3.4659,30.0,3.4659,3.6727,3.9213,4.643,0.649,0.83,190.3
with_abs,EMG,lt1,14,79,3.5657,3.847,30.0,3.847,4.0408,4.275,4.9404,0.48,0.739,138.1
noabs,EMG,lt1,14,79,3.5543,3.7954,30.0,3.7954,3.9707,4.1964,4.861,0.547,0.772,138.6
with_abs,NIRS,lt1,14,18,5.2353,5.2885,30.0,5.2885,5.3338,5.3949,5.6471,0.091,0.479,137.4
noabs,NIRS,lt1,14,14,4.3067,4.4786,30.0,4.4786,4.6072,4.7692,5.2721,0.384,0.634,136.9
with_abs,EMG+NIRS,lt1,14,97,3.5614,3.7951,30.0,3.7951,3.9524,4.1449,4.7138,0.457,0.736,139.7
noabs,EMG+NIRS,lt1,14,93,3.5845,3.8378,30.0,3.8378,4.011,4.2243,4.8463,0.537,0.767,140.3
with_abs,EMG+NIRS+HRV,lt1,14,107,2.9409,3.2086,30.0,3.2086,3.3904,3.6155,4.284,0.626,0.808,140.1
noabs,EMG+NIRS+HRV,lt1,14,101,3.3335,3.5794,30.0,3.5794,3.7497,3.9588,4.5841,0.531,0.75,139.9
