variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
with_abs,EMG,lt1,18,79,6.6734,6.6406,30.0,6.6406,6.656,6.717,7.0887,-0.449,0.011,583.9
noabs,EMG,lt1,18,79,6.3479,6.3395,30.0,6.3395,6.3655,6.4286,6.7649,-0.355,0.125,500.4
with_abs,NIRS,lt1,18,18,6.0127,6.0871,30.0,6.0871,6.1493,6.2381,6.5965,-0.141,0.161,475.4
noabs,NIRS,lt1,18,14,6.6091,6.5821,30.0,6.5821,6.5972,6.6482,6.9923,-0.403,0.05,436.4
with_abs,EMG+NIRS,lt1,18,97,6.2337,6.2034,30.0,6.2034,6.2191,6.2755,6.6115,-0.359,0.142,489.6
noabs,EMG+NIRS,lt1,18,93,6.0067,5.9891,30.0,5.9891,6.0203,6.0989,6.5055,-0.228,0.147,489.5
with_abs,EMG+NIRS+HRV,lt1,18,107,6.0525,6.0066,30.0,6.0066,6.0266,6.094,6.4882,-0.249,0.163,513.9
noabs,EMG+NIRS+HRV,lt1,18,101,5.9761,5.9702,30.0,5.9702,6.0118,6.1023,6.5534,-0.238,0.242,464.0
