subject_id,mae_min,target
S002,6.71,lt1
S003,3.373,lt1
S004,2.559,lt1
S006,4.398,lt1
S008,1.111,lt1
S009,5.495,lt1
S010,3.626,lt1
S011,3.898,lt1
S013,2.481,lt1
S014,2.894,lt1
S016,3.363,lt1
S017,2.026,lt1
S018,4.276,lt1
S019,3.531,lt1
