task,config,mae_min,mae_std,r2,rho,best
LT1,z_EMG+HRV,2.0147862919621735,1.0080355556192497,0.8340730401683728,0.9241739797783913,True
LT1,z_EMG+HRV+running NIRS,2.0423970088841865,1.1564975645196185,0.8260613929707131,0.9186982801145225,False
LT1,Running NIRS+HRV,2.476629766787315,1.3944223962248568,0.75456770356639,0.87029325380418,False
LT1,HRV только,2.608270261096675,1.2096584893819526,0.7379307424742554,0.8609435616951826,False
LT1,z_EMG только,2.895206780659805,0.8965867115927855,0.7026249632576459,0.8619383806489415,False
LT1,z_EMG+running NIRS,2.9541579407534977,0.9351691671333425,0.6945734614763464,0.8576995527946271,False
LT1,Baseline (NIRS+HRV),3.1178847311351587,1.8263513761702113,0.6372227339578271,0.8246726149706187,False
LT2,z_EMG+HRV,1.934752832925438,0.8651807929045006,0.8603429712236795,0.9376285819661798,True
LT2,NIRS+HRV+interaction+z_EMG,2.2870831791291755,1.0922480184518153,0.8203106132159894,0.9115061677050119,False
LT2,NIRS+HRV+interaction,2.54231376685407,1.5179268112639959,0.779190458945438,0.8884636084095516,False
LT2,Baseline (NIRS+HRV),2.6044931063323835,1.6298608672308708,0.7573960133618552,0.8791643142512798,False
LT2,z_EMG только,3.2108163139176593,1.4746996320502403,0.5962511487642639,0.8048404515174861,False
