task,config,raw_mae,kalman_mae,delta,sigma_p,sigma_obs
LT2,v0004 + Ridge (ref),2.309150550875706,2.2837800632182943,-0.0253704876574119,15.0,150.0
LT2,v0008★ SampEn30 + GBM,2.27801558309253,2.2424379955063265,-0.03557758758620366,15.0,150.0
LT1,v0004 + Huber (ref),2.036486295405091,1.9478518050277738,-0.0886344903773173,15.0,150.0
LT1,v0008★ SampEn60+timing_cv+Huber,2.081872740897383,2.009489576346104,-0.07238316455127913,15.0,150.0
