variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_5,kalman_10,kalman_15,kalman_20,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec
with_abs,EMG,lt2,18,79,5.0247,5.0254,5.0,5.0254,5.0265,5.028,5.0302,5.0365,5.0579,5.0997,5.3306,0.134,0.372,229.9
noabs,EMG,lt2,18,79,5.1461,5.1474,5.0,5.1474,5.1495,5.1521,5.1551,5.1626,5.1837,5.2226,5.4341,0.09,0.317,220.5
with_abs,NIRS,lt2,18,18,4.6416,4.655,5.0,4.655,4.6757,4.6976,4.7202,4.7672,4.866,4.999,5.4549,0.193,0.574,206.6
noabs,NIRS,lt2,18,14,4.7228,4.7372,5.0,4.7372,4.7596,4.7834,4.8077,4.8574,4.9598,5.0925,5.5434,0.172,0.62,206.8
with_abs,EMG+NIRS,lt2,18,97,4.8082,4.8132,5.0,4.8132,4.8209,4.8288,4.8368,4.8532,4.8884,4.9375,5.1398,0.221,0.46,214.8
noabs,EMG+NIRS,lt2,18,93,4.8753,4.8795,5.0,4.8795,4.8858,4.8925,4.8993,4.9134,4.9434,4.986,5.1753,0.213,0.445,218.8
with_abs,EMG+NIRS+HRV,lt2,18,107,4.33,4.3394,5.0,4.3394,4.3535,4.3683,4.3833,4.4135,4.4752,4.5562,4.8439,0.354,0.564,218.4
noabs,EMG+NIRS+HRV,lt2,18,101,4.5126,4.5186,5.0,4.5186,4.5284,4.5388,4.5494,4.5712,4.6164,4.6761,4.904,0.313,0.524,218.2
