variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG+NIRS+HRV,lt2,S001,5.6757,-0.574
with_abs,EMG+NIRS+HRV,lt2,S002,3.3889,-0.078
with_abs,EMG+NIRS+HRV,lt2,S003,6.2241,-0.077
with_abs,EMG+NIRS+HRV,lt2,S004,3.8832,-0.153
with_abs,EMG+NIRS+HRV,lt2,S005,6.4633,-0.778
with_abs,EMG+NIRS+HRV,lt2,S006,4.3946,-1.058
with_abs,EMG+NIRS+HRV,lt2,S008,1.897,0.668
with_abs,EMG+NIRS+HRV,lt2,S009,4.0465,0.668
with_abs,EMG+NIRS+HRV,lt2,S010,4.3976,0.562
with_abs,EMG+NIRS+HRV,lt2,S011,3.9492,0.03
with_abs,EMG+NIRS+HRV,lt2,S012,2.0279,0.682
with_abs,EMG+NIRS+HRV,lt2,S013,4.3355,0.333
with_abs,EMG+NIRS+HRV,lt2,S014,3.6664,0.229
with_abs,EMG+NIRS+HRV,lt2,S016,3.198,0.18
with_abs,EMG+NIRS+HRV,lt2,S017,4.9525,-0.15
with_abs,EMG+NIRS+HRV,lt2,S018,3.1035,-2.483
with_abs,EMG+NIRS+HRV,lt2,S019,4.6652,0.566
noabs,EMG+NIRS+HRV,lt2,S001,5.6861,-0.57
noabs,EMG+NIRS+HRV,lt2,S002,3.6208,-0.207
noabs,EMG+NIRS+HRV,lt2,S003,6.3639,-0.107
noabs,EMG+NIRS+HRV,lt2,S004,4.353,-0.539
noabs,EMG+NIRS+HRV,lt2,S005,7.1345,-1.06
noabs,EMG+NIRS+HRV,lt2,S006,4.1962,-0.854
noabs,EMG+NIRS+HRV,lt2,S008,1.9627,0.647
noabs,EMG+NIRS+HRV,lt2,S009,4.1951,0.67
noabs,EMG+NIRS+HRV,lt2,S010,4.7358,0.512
noabs,EMG+NIRS+HRV,lt2,S011,5.0102,-0.479
noabs,EMG+NIRS+HRV,lt2,S012,2.0697,0.669
noabs,EMG+NIRS+HRV,lt2,S013,4.6558,0.272
noabs,EMG+NIRS+HRV,lt2,S014,4.2029,0.012
noabs,EMG+NIRS+HRV,lt2,S016,3.2795,0.127
noabs,EMG+NIRS+HRV,lt2,S017,4.4543,0.082
noabs,EMG+NIRS+HRV,lt2,S018,3.0889,-2.475
noabs,EMG+NIRS+HRV,lt2,S019,4.3384,0.61
