task,config,raw_mae,kalman_mae,delta_raw,delta_v009,sigma_p,sigma_obs
LT2,v0008★ SampEn30 + GBM,2.1076644675832044,1.6620051984412667,-0.44565926914193765,-0.28099480155873335,5.0,400.0
LT1,v0008★ SampEn60+timing_cv+Huber,2.1578185425275174,2.0681640987148775,-0.08965444381263987,0.16716409871487747,10.0,200.0
