version,family,variant,has_cwt,arch_type,step_label,arch_label,feature_set,target,mae_raw,mae_kalman,best_sigma,kalman_5,kalman_10,kalman_15,kalman_20,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,bias,calib,ps_mae_mean,ps_mae_std,delta_v0011,best_nn_mae,delta_best_nn
v0317,LSTM,noabs,False,Attention,15с,Attention 15с,EMG+NIRS+HRV,lt1,3.1415,3.1573,5.0,3.1573,3.189,3.2228,3.2573,3.3286,3.4683,3.6126,3.9406,0.582,0.781,0.3903,0.781,2.7993,1.725,0.1045,3.0751,0.0822
v0318,LSTM,noabs,True,Attention,15с,Attention 15с +CWT,EMG,lt1,4.2083,4.2206,5.0,4.2206,4.2472,4.274,4.2994,4.3475,4.4381,4.5318,4.7303,0.121,0.586,1.5532,0.839,3.5589,2.9985,0.6763,3.0751,1.1455
v0318,LSTM,noabs,True,Attention,15с,Attention 15с +CWT,EMG+NIRS,lt1,4.2772,4.2886,5.0,4.2886,4.3138,4.3397,4.3646,4.4118,4.4938,4.5828,4.8242,0.17,0.598,1.3702,0.838,3.6401,2.7688,0.8892,3.0751,1.2135
v0318,LSTM,noabs,True,Attention,15с,Attention 15с +CWT,EMG+NIRS+HRV,lt1,3.9467,3.9634,5.0,3.9634,3.9968,4.0304,4.063,4.1233,4.2272,4.3339,4.5682,0.29,0.659,1.097,0.842,3.3433,2.4677,0.9106,3.0751,0.8883
v0319,LSTM,with_abs,False,Stateless,30с,Stateless 30с,EMG,lt1,3.9318,3.9462,5.0,3.9462,3.9767,4.0086,4.0407,4.1015,4.2099,4.3222,4.5581,0.375,0.681,0.9012,0.788,3.6098,1.9388,0.4019,3.0751,0.8711
v0319,LSTM,with_abs,False,Stateless,30с,Stateless 30с,EMG+NIRS,lt1,3.5009,3.5138,5.0,3.5138,3.5447,3.5769,3.608,3.6649,3.7605,3.8626,4.1568,0.517,0.762,0.8666,0.828,3.3009,1.7487,0.1144,3.0751,0.4387
v0319,LSTM,with_abs,False,Stateless,30с,Stateless 30с,EMG+NIRS+HRV,lt1,3.6974,3.7084,5.0,3.7084,3.7366,3.7681,3.7995,3.8604,3.9805,4.1055,4.381,0.453,0.727,0.4604,0.88,3.2347,2.0672,0.6556,3.0751,0.6333
v0320,LSTM,with_abs,True,Stateless,30с,Stateless 30с +CWT,EMG,lt1,4.3892,4.3982,5.0,4.3982,4.4205,4.4451,4.4701,4.5188,4.6065,4.6992,4.8855,0.139,0.587,1.6312,0.854,3.8861,2.843,0.8539,3.0751,1.3231
v0320,LSTM,with_abs,True,Stateless,30с,Stateless 30с +CWT,EMG+NIRS,lt1,4.2076,4.2143,5.0,4.2143,4.2385,4.265,4.2907,4.3413,4.435,4.5299,4.7626,0.185,0.624,1.5785,0.878,3.6964,2.7912,0.8149,3.0751,1.1392
v0320,LSTM,with_abs,True,Stateless,30с,Stateless 30с +CWT,EMG+NIRS+HRV,lt1,3.9201,3.9382,5.0,3.9382,3.9745,4.0124,4.0498,4.1216,4.2459,4.3711,4.6366,0.321,0.685,1.0489,0.9,3.3202,2.4653,0.8854,3.0751,0.8631
v0321,LSTM,with_abs,False,Stateless,15с,Stateless 15с,EMG,lt1,4.1479,4.1624,5.0,4.1624,4.1944,4.2254,4.2537,4.3044,4.3959,4.5076,4.7843,0.227,0.613,1.2512,0.801,3.6157,2.5914,0.6181,3.0751,1.0873
v0321,LSTM,with_abs,False,Stateless,15с,Stateless 15с,EMG+NIRS,lt1,3.468,3.4811,5.0,3.4811,3.5115,3.543,3.5738,3.6329,3.7405,3.8636,4.2217,0.524,0.755,0.5551,0.847,3.2075,1.7138,0.0817,3.0751,0.406
v0321,LSTM,with_abs,False,Stateless,15с,Stateless 15с,EMG+NIRS+HRV,lt1,3.3004,3.3152,5.0,3.3152,3.3497,3.3859,3.4219,3.4909,3.6102,3.7427,4.0778,0.586,0.808,0.5253,0.848,2.8755,1.8281,0.2624,3.0751,0.2401
v0322,LSTM,with_abs,True,Stateless,15с,Stateless 15с +CWT,EMG,lt1,4.5113,4.5196,5.0,4.5196,4.5403,4.5621,4.5839,4.6267,4.7063,4.802,5.0155,-0.04,0.513,1.794,0.874,3.8074,3.5764,0.9753,3.0751,1.4445
v0322,LSTM,with_abs,True,Stateless,15с,Stateless 15с +CWT,EMG+NIRS,lt1,4.0427,4.058,5.0,4.058,4.091,4.1229,4.1534,4.2115,4.3199,4.4401,4.7098,0.332,0.691,1.4494,0.83,3.5608,2.4861,0.6586,3.0751,0.9829
v0322,LSTM,with_abs,True,Stateless,15с,Stateless 15с +CWT,EMG+NIRS+HRV,lt1,3.778,3.7941,5.0,3.7941,3.827,3.8601,3.8921,3.9527,4.0591,4.1763,4.5121,0.429,0.745,1.2796,0.879,3.2609,2.3348,0.7413,3.0751,0.719
v0323,LSTM,with_abs,False,Stateless,5с,Stateless 5с,EMG,lt1,4.3978,4.401,5.0,4.401,4.4113,4.4227,4.4366,4.4722,4.5491,4.648,4.9305,0.089,0.575,1.7187,0.838,3.8523,3.0372,0.8567,3.0751,1.3259
v0323,LSTM,with_abs,False,Stateless,5с,Stateless 5с,EMG+NIRS,lt1,3.7315,3.7383,5.0,3.7383,3.7567,3.7801,3.8065,3.8634,3.9895,4.1368,4.5133,0.455,0.724,0.8779,0.871,3.4523,2.1724,0.3389,3.0751,0.6632
v0323,LSTM,with_abs,False,Stateless,5с,Stateless 5с,EMG+NIRS+HRV,lt1,3.564,3.5794,5.0,3.5794,3.6075,3.6361,3.6659,3.7266,3.8425,3.9799,4.3631,0.501,0.757,0.4728,0.87,3.0816,2.2209,0.5266,3.0751,0.5043
v0324,LSTM,with_abs,True,Stateless,5с,Stateless 5с +CWT,EMG,lt1,4.5076,4.514,5.0,4.514,4.5292,4.5478,4.5678,4.6128,4.7124,4.8384,5.1773,0.06,0.569,1.9623,0.879,3.9124,3.4683,0.9697,3.0751,1.4389
v0324,LSTM,with_abs,True,Stateless,5с,Stateless 5с +CWT,EMG+NIRS,lt1,3.9983,4.0109,5.0,4.0109,4.0379,4.0666,4.0955,4.1514,4.2588,4.3887,4.7237,0.338,0.699,1.5939,0.855,3.5452,2.6351,0.6115,3.0751,0.9358
v0324,LSTM,with_abs,True,Stateless,5с,Stateless 5с +CWT,EMG+NIRS+HRV,lt1,3.946,3.9627,5.0,3.9627,3.9945,4.0278,4.062,4.1318,4.2588,4.3934,4.7621,0.345,0.71,1.2963,0.903,3.3679,2.7615,0.9099,3.0751,0.8876
v0325,LSTM,with_abs,False,Stateful,30с,Stateful 30с,EMG,lt1,3.7488,3.9272,5.0,3.9272,4.1314,4.2881,4.426,4.6399,4.8832,5.0714,5.2965,0.527,0.764,0.5256,0.832,3.4367,1.8125,0.3829,3.0751,0.8521
v0325,LSTM,with_abs,False,Stateful,30с,Stateful 30с,EMG+NIRS,lt1,3.7237,3.8758,5.0,3.8758,4.0265,4.1281,4.2043,4.3429,4.5938,4.7608,4.942,0.49,0.744,-0.2154,0.883,3.4331,2.1132,0.4764,3.0751,0.8007
v0325,LSTM,with_abs,False,Stateful,30с,Stateful 30с,EMG+NIRS+HRV,lt1,3.6443,3.8211,5.0,3.8211,4.0501,4.2255,4.3652,4.5946,4.8749,5.0756,5.31,0.557,0.782,0.3508,0.877,3.2382,1.9067,0.7683,3.0751,0.746
v0326,LSTM,with_abs,True,Stateful,30с,Stateful 30с +CWT,EMG,lt1,4.4832,4.6395,5.0,4.6395,4.8364,4.994,5.1152,5.2868,5.5154,5.7003,5.9042,0.265,0.647,0.437,0.919,3.915,2.8626,1.0952,3.0751,1.5644
v0326,LSTM,with_abs,True,Stateful,30с,Stateful 30с +CWT,EMG+NIRS,lt1,3.9084,4.0575,5.0,4.0575,4.268,4.4354,4.5764,4.8213,5.1748,5.4086,5.6452,0.473,0.758,0.6342,0.881,3.474,2.1432,0.6581,3.0751,0.9824
v0326,LSTM,with_abs,True,Stateful,30с,Stateful 30с +CWT,EMG+NIRS+HRV,lt1,3.7788,3.9449,5.0,3.9449,4.1449,4.2987,4.4285,4.6373,4.9794,5.2142,5.4478,0.513,0.749,0.4082,0.841,3.3006,2.0263,0.8921,3.0751,0.8698
v0327,LSTM,with_abs,False,Stateful,15с,Stateful 15с,EMG,lt1,4.15,4.2354,5.0,4.2354,4.35,4.4536,4.5443,4.6999,4.9121,5.0491,5.2774,0.392,0.689,0.598,0.81,3.7712,1.8582,0.6911,3.0751,1.1603
v0327,LSTM,with_abs,False,Stateful,15с,Stateful 15с,EMG+NIRS,lt1,4.1353,4.2264,5.0,4.2264,4.3369,4.4293,4.5039,4.6171,4.7824,4.9657,5.274,0.455,0.721,0.4949,0.922,3.934,1.7752,0.827,3.0751,1.1513
