version,family,variant,has_cwt,arch_type,step_label,arch_label,feature_set,target,mae_raw,mae_kalman,best_sigma,kalman_5,kalman_10,kalman_15,kalman_20,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,bias,calib,ps_mae_mean,ps_mae_std,delta_v0011,best_nn_mae,delta_best_nn
v0336,LSTM,with_abs,True,Attention,15с,Attention 15с +CWT,EMG+NIRS+HRV,lt1,3.7398,3.7542,5.0,3.7542,3.7843,3.8149,3.8447,3.9002,3.9937,4.097,4.3839,0.415,0.718,1.0044,0.857,3.2327,2.137,0.7014,3.0751,0.6791
v0401,TCN,with_abs,False,Pure,seq30,TCN-Pure seq30,EMG,lt1,4.1906,4.2054,5.0,4.2054,4.2295,4.2519,4.2724,4.3105,4.3811,4.4569,4.6471,0.238,0.612,0.6904,0.826,3.7446,2.1052,0.6611,3.0751,1.1303
v0401,TCN,with_abs,False,Pure,seq30,TCN-Pure seq30,EMG+NIRS,lt1,3.5674,3.5822,5.0,3.5822,3.6133,3.6451,3.6763,3.7332,3.8295,3.9348,4.2057,0.488,0.753,0.5489,0.925,3.3566,2.0146,0.1828,3.0751,0.5071
v0401,TCN,with_abs,False,Pure,seq30,TCN-Pure seq30,EMG+NIRS+HRV,lt1,3.4607,3.4817,5.0,3.4817,3.5213,3.5619,3.6018,3.6773,3.8103,3.9544,4.2639,0.51,0.769,0.5905,0.928,3.0745,2.0357,0.4289,3.0751,0.4066
v0402,TCN,noabs,False,Pure,seq30,TCN-Pure seq30,EMG,lt1,4.3086,4.3214,5.0,4.3214,4.3446,4.368,4.3908,4.4341,4.4986,4.5434,4.5627,0.147,0.599,0.5668,0.911,3.8453,2.3352,0.7771,3.0751,1.2463
v0402,TCN,noabs,False,Pure,seq30,TCN-Pure seq30,EMG+NIRS,lt1,3.836,3.8499,5.0,3.8499,3.8772,3.9048,3.934,3.9917,4.0858,4.1737,4.3519,0.39,0.732,-0.1961,0.958,3.4673,1.9057,0.4505,3.0751,0.7748
v0402,TCN,noabs,False,Pure,seq30,TCN-Pure seq30,EMG+NIRS+HRV,lt1,3.6496,3.6633,5.0,3.6633,3.692,3.7217,3.751,3.8068,3.9043,4.0056,4.1993,0.494,0.761,0.2493,0.87,3.2442,1.7986,0.6105,3.0751,0.5882
v0403,TCN,with_abs,False,Medium,seq60,TCN-Medium seq60,EMG,lt1,4.3964,4.4044,5.0,4.4044,4.4229,4.442,4.4606,4.4946,4.5436,4.5847,4.6747,0.039,0.532,1.0033,0.906,3.9763,2.3325,0.8601,3.0751,1.3293
v0403,TCN,with_abs,False,Medium,seq60,TCN-Medium seq60,EMG+NIRS,lt1,3.5054,3.5206,5.0,3.5206,3.5516,3.5843,3.6166,3.6785,3.7935,3.9061,4.1203,0.42,0.696,0.4478,0.879,3.2788,2.0525,0.1212,3.0751,0.4455
v0403,TCN,with_abs,False,Medium,seq60,TCN-Medium seq60,EMG+NIRS+HRV,lt1,3.9208,3.9371,5.0,3.9371,3.9698,4.0062,4.0419,4.112,4.2338,4.3548,4.5821,0.345,0.681,0.4352,0.919,3.4813,2.0359,0.8843,3.0751,0.862
v0404,TCN,noabs,False,Medium,seq60,TCN-Medium seq60,EMG,lt1,4.2156,4.2299,5.0,4.2299,4.2538,4.2767,4.2979,4.3354,4.3936,4.4367,4.5071,0.182,0.625,0.0967,0.888,3.9732,1.9704,0.6856,3.0751,1.1548
v0404,TCN,noabs,False,Medium,seq60,TCN-Medium seq60,EMG+NIRS,lt1,3.5777,3.5946,5.0,3.5946,3.6271,3.6597,3.691,3.7485,3.84,3.922,4.061,0.403,0.696,0.1956,0.831,3.3636,1.5162,0.1952,3.0751,0.5195
v0404,TCN,noabs,False,Medium,seq60,TCN-Medium seq60,EMG+NIRS+HRV,lt1,3.873,3.8948,5.0,3.8948,3.9332,3.9738,4.0129,4.0876,4.2153,4.3341,4.5377,0.314,0.659,0.7938,0.83,3.3581,2.0377,0.842,3.0751,0.8197
v0405,TCN,with_abs,False,DWT,seq30,TCN-DWT seq30,EMG,lt1,3.811,3.8297,5.0,3.8297,3.863,3.8958,3.9276,3.9876,4.0859,4.173,4.3413,0.391,0.714,0.069,0.863,3.4598,1.8192,0.2854,3.0751,0.7546
v0405,TCN,with_abs,False,DWT,seq30,TCN-DWT seq30,EMG+NIRS,lt1,3.6888,3.7034,5.0,3.7034,3.7431,3.7844,3.8245,3.8997,4.0355,4.1728,4.4439,0.425,0.718,0.7642,0.855,3.374,2.029,0.304,3.0751,0.6283
v0405,TCN,with_abs,False,DWT,seq30,TCN-DWT seq30,EMG+NIRS+HRV,lt1,3.808,3.8243,5.0,3.8243,3.857,3.8902,3.9229,3.983,4.0804,4.1721,4.3666,0.476,0.757,0.5642,0.937,3.4096,1.7968,0.7715,3.0751,0.7492
v0406,TCN,noabs,False,DWT,seq30,TCN-DWT seq30,EMG,lt1,3.9842,4.0003,5.0,4.0003,4.0306,4.0611,4.0907,4.1451,4.2379,4.3315,4.5094,0.261,0.643,0.6847,0.866,3.5292,2.3056,0.456,3.0751,0.9252
v0406,TCN,noabs,False,DWT,seq30,TCN-DWT seq30,EMG+NIRS,lt1,3.5147,3.5368,5.0,3.5368,3.5774,3.6181,3.6587,3.7361,3.867,3.9934,4.2521,0.459,0.757,0.791,0.849,3.1933,2.1294,0.1374,3.0751,0.4617
v0406,TCN,noabs,False,DWT,seq30,TCN-DWT seq30,EMG+NIRS+HRV,lt1,3.138,3.1596,5.0,3.1596,3.2,3.2412,3.2816,3.356,3.4791,3.599,3.837,0.61,0.845,0.057,0.941,2.8889,1.6851,0.1068,3.0751,0.0845
v0407,TCN,with_abs,False,WaveNet,seq30,TCN-WaveNet seq30,EMG,lt1,4.7112,4.7184,5.0,4.7184,4.7411,4.7641,4.7866,4.8289,4.9032,4.9747,5.1061,0.036,0.557,0.6433,0.978,4.1765,2.736,1.1741,3.0751,1.6433
v0407,TCN,with_abs,False,WaveNet,seq30,TCN-WaveNet seq30,EMG+NIRS,lt1,3.8248,3.8323,5.0,3.8323,3.8549,3.8787,3.9019,3.9449,4.0153,4.0877,4.2812,0.4,0.711,0.4258,0.964,3.4936,2.2874,0.4329,3.0751,0.7572
v0407,TCN,with_abs,False,WaveNet,seq30,TCN-WaveNet seq30,EMG+NIRS+HRV,lt1,3.6822,3.6991,5.0,3.6991,3.7342,3.7707,3.8069,3.875,3.9926,4.1135,4.372,0.46,0.755,0.1578,1.002,3.2253,2.0126,0.6463,3.0751,0.624
v0408,TCN,noabs,False,WaveNet,seq30,TCN-WaveNet seq30,EMG,lt1,4.8054,4.818,5.0,4.818,4.8444,4.8711,4.8966,4.9418,5.0147,5.0772,5.1581,-0.194,0.492,0.6264,1.037,4.188,3.217,1.2737,3.0751,1.7429
v0408,TCN,noabs,False,WaveNet,seq30,TCN-WaveNet seq30,EMG+NIRS,lt1,3.8656,3.8777,5.0,3.8777,3.9056,3.9343,3.9624,4.0177,4.1227,4.225,4.4298,0.366,0.69,0.5501,0.944,3.388,2.1917,0.4783,3.0751,0.8026
v0408,TCN,noabs,False,WaveNet,seq30,TCN-WaveNet seq30,EMG+NIRS+HRV,lt1,3.8232,3.8389,5.0,3.8389,3.8724,3.907,3.9407,4.004,4.1121,4.2233,4.4575,0.391,0.731,-0.2401,0.998,3.3152,2.3935,0.7861,3.0751,0.7638
