variant,feature_set,target,subject_id,mae_ens_min,mae_tcn_min,mae_lin_min,best_alpha,best_expert
with_abs,EMG+NIRS,lt2,S004,3.7493,4.8866,3.7866,0.15,linear
with_abs,EMG+NIRS,lt2,S005,5.4885,5.925,5.6207,0.15,linear
with_abs,EMG+NIRS,lt2,S006,4.2825,3.39,4.3499,0.05,tcn
with_abs,EMG+NIRS,lt2,S008,2.8201,2.927,3.0543,0.05,tcn
with_abs,EMG+NIRS,lt2,S009,5.9836,6.0556,6.296,0.2,tcn
with_abs,EMG+NIRS,lt2,S010,2.3249,4.1615,2.506,0.2,linear
with_abs,EMG+NIRS,lt2,S011,3.9412,5.3173,3.7891,0.1,linear
with_abs,EMG+NIRS,lt2,S012,6.9341,2.3592,7.9627,0.15,tcn
with_abs,EMG+NIRS,lt2,S013,9.4015,4.9028,10.632,0.15,tcn
with_abs,EMG+NIRS,lt2,S014,2.5581,4.6016,2.3103,0.15,linear
with_abs,EMG+NIRS,lt2,S016,1.9004,3.4452,2.1054,0.1,linear
with_abs,EMG+NIRS,lt2,S017,4.774,5.5737,4.6903,0.2,linear
with_abs,EMG+NIRS,lt2,S018,2.4522,1.7206,2.736,0.15,tcn
with_abs,EMG+NIRS,lt2,S019,5.8831,5.3651,6.4773,0.15,tcn
noabs,EMG+NIRS,lt2,S001,3.8489,5.9526,3.5494,0.15,linear
noabs,EMG+NIRS,lt2,S002,3.8506,4.3521,4.3285,0.15,linear
noabs,EMG+NIRS,lt2,S003,8.9873,6.4202,9.5536,0.1,tcn
noabs,EMG+NIRS,lt2,S004,5.4846,4.9208,6.4584,0.2,tcn
noabs,EMG+NIRS,lt2,S005,4.8838,6.1023,4.7796,0.15,linear
noabs,EMG+NIRS,lt2,S006,3.2105,3.9953,3.1184,0.15,linear
noabs,EMG+NIRS,lt2,S008,0.8429,2.8348,1.013,0.2,linear
noabs,EMG+NIRS,lt2,S009,6.2659,5.7509,6.681,0.2,tcn
noabs,EMG+NIRS,lt2,S010,2.5347,4.328,2.5369,0.2,linear
noabs,EMG+NIRS,lt2,S011,3.5814,6.351,3.1113,0.15,linear
noabs,EMG+NIRS,lt2,S012,5.1831,2.3665,5.8672,0.15,tcn
noabs,EMG+NIRS,lt2,S013,8.3026,5.0054,9.3999,0.15,tcn
noabs,EMG+NIRS,lt2,S014,2.9353,4.4559,2.6945,0.2,linear
noabs,EMG+NIRS,lt2,S016,1.537,3.5089,1.6348,0.15,linear
noabs,EMG+NIRS,lt2,S017,3.3418,5.0813,3.0761,0.2,linear
noabs,EMG+NIRS,lt2,S018,2.273,1.8237,3.0348,0.2,tcn
noabs,EMG+NIRS,lt2,S019,4.429,5.4078,4.7425,0.15,linear
with_abs,EMG+NIRS+HRV,lt2,S001,4.4164,5.968,4.4029,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S002,2.0732,3.7554,2.1793,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S003,8.966,6.1219,8.966,0.0,tcn
with_abs,EMG+NIRS+HRV,lt2,S004,2.9611,4.2418,3.0559,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S005,1.7994,6.7464,1.7012,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S006,0.7603,4.0786,0.8343,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S008,1.9009,1.663,2.0522,0.05,tcn
with_abs,EMG+NIRS+HRV,lt2,S009,2.3839,4.3235,2.3461,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S010,2.7561,4.9687,2.7561,0.0,linear
with_abs,EMG+NIRS+HRV,lt2,S011,2.1954,5.0701,2.0441,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S012,3.1228,1.8336,3.2308,0.05,tcn
with_abs,EMG+NIRS+HRV,lt2,S013,2.5587,4.5247,2.8615,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S014,1.5821,4.3097,1.4895,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S016,1.7204,3.3294,1.7204,0.0,linear
with_abs,EMG+NIRS+HRV,lt2,S017,4.6907,5.265,4.6907,0.0,linear
with_abs,EMG+NIRS+HRV,lt2,S018,5.2841,4.0282,5.3502,0.05,tcn
with_abs,EMG+NIRS+HRV,lt2,S019,1.0917,4.399,1.0256,0.05,linear
noabs,EMG+NIRS+HRV,lt2,S001,2.7949,5.9853,2.7949,0.0,linear
noabs,EMG+NIRS+HRV,lt2,S002,1.2463,4.0744,1.2141,0.05,linear
noabs,EMG+NIRS+HRV,lt2,S003,8.5799,6.189,8.7982,0.05,tcn
noabs,EMG+NIRS+HRV,lt2,S004,3.0253,4.6138,3.2407,0.05,linear
noabs,EMG+NIRS+HRV,lt2,S005,1.3918,6.5434,1.3243,0.05,linear
noabs,EMG+NIRS+HRV,lt2,S006,2.4462,4.1199,2.577,0.05,linear
noabs,EMG+NIRS+HRV,lt2,S008,1.1137,1.942,1.2231,0.05,linear
noabs,EMG+NIRS+HRV,lt2,S009,3.4529,4.1195,3.3937,0.1,linear
noabs,EMG+NIRS+HRV,lt2,S010,2.4256,4.4393,2.3458,0.05,linear
noabs,EMG+NIRS+HRV,lt2,S011,1.1936,6.5807,1.1243,0.05,linear
noabs,EMG+NIRS+HRV,lt2,S012,2.4565,2.2734,2.5004,0.05,tcn
noabs,EMG+NIRS+HRV,lt2,S013,2.8491,4.3102,3.1988,0.1,linear
noabs,EMG+NIRS+HRV,lt2,S014,2.5242,4.4642,2.341,0.1,linear
noabs,EMG+NIRS+HRV,lt2,S016,3.0953,3.1862,3.0953,0.0,linear
noabs,EMG+NIRS+HRV,lt2,S017,2.9425,4.9367,2.9425,0.0,linear
noabs,EMG+NIRS+HRV,lt2,S018,5.3283,2.9218,5.4567,0.05,tcn
noabs,EMG+NIRS+HRV,lt2,S019,2.0243,4.6685,1.8309,0.1,linear
